"[O:1]=[S:2](=[O:3])([OH:4])[C:5]([F:6])([F:7])[F:8]>C=C=O>[O:3]=[S:2](=[O:4])([O:3][S:2](=[O:4])(=[O:1])[C:5]([F:7])([F:8])[F:6])[C:5]([F:7])([F:8])[F:6]","US20020002301A1","0.0","Unrecognized",,2002,"pistachio",0
"[NH2:1][c:2]1[n:3][c:4]([n:5][c:6]([n:7]1)[NH2:8])[NH2:9].N[C:10]([NH2:11])=[O:12]>>[NH2:1][c:2]1[n:3][c:4]([n:5][c:6]([n:7]1)[NH2:8])[NH2:9].[O:12]=[C:10]=[O:12].[NH3:11]","US20020004597A1","0.0","Unrecognized",,2002,"pistachio",1
"C[CH:1]1[O:2][c:3]2[c:4]([c:5]3[o:6][c:7]([cH:8][c:9]([c:10]3[c:11]3[O:12][C:13]([CH:14]=[CH:15][c:16]23)([CH3:17])[CH3:18])[CH2:19][CH2:20][CH3:21])=[O:22])[CH:23]([CH:24]1C)[OH:25]>CCCc1cc(oc2cc(c3C=CC(Oc3c12)(C)C)O)=O>[CH3:21][CH2:20][CH2:19][c:9]1[cH:8][c:7]([o:6][c:5]2[c:10]1[c:11]1[O:12][C:13]([CH:14]=[CH:15][c:16]1[c:3]([c:4]2[C:23](=[O:25])[CH2:24][CH3:1])[OH:2])([CH3:18])[CH3:17])=[O:22]","US20020013480A1","0.0","Unrecognized",,2002,"pistachio",2
"CC(C)([OH:1])c1ccccc1.CC(C)[c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[CH3:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[O-]O>CC(C)=O>[CH2:8]=[C:9]([CH3:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[OH:1][c:2]1[cH:7][cH:6][cH:5][cH:4][cH:3]1 |f:2.3|","US20020040165A1","0.0","Unrecognized",,2002,"pistachio",3
"[N:1]#[C:2][CH2:3][CH2:4][CH2:5][CH2:6][C:7](=[O:8])[OH:9]>O=C1CCCCCN1>[NH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C:7](=[O:8])[OH:9]","US20020045748A1","7.3.1","Nitrile reduction",,2002,"pistachio",4
"[O-][N+:1](=O)[c:2]1[cH:3][c:4]([c:5]([cH:6][c:7]1[OH:8])[OH:9])[N+:10]([O-])=O>>[NH2:10][c:4]1[cH:3][c:2]([c:7]([cH:6][c:5]1[OH:9])[OH:8])[NH2:1]","US20020107415A1","7.1.1","Nitro to amino",,2002,"pistachio",5
"[CH3:1][C:2]#[N:3].[O:4]=[CH:5][c:6]1[c:7]([c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[n:14][c:15]1[CH:16]1[CH2:17][CH2:18]1)-[c:19]1[cH:20][cH:21][c:22]([cH:23][cH:24]1)[F:25]>>[N:3]#[C:2][CH2:1][CH:5]([OH:4])[c:6]1[c:15]([n:14][c:13]2[cH:12][cH:11][cH:10][cH:9][c:8]2[c:7]1-[c:19]1[cH:20][cH:21][c:22]([cH:23][cH:24]1)[F:25])[CH:16]1[CH2:18][CH2:17]1","US20030013885A1","0.0","Unrecognized",,2003,"pistachio",6
"[CH2:1]=[CH:2][CH2:3][Br:4].[CH2:5]=[CH:6][CH2:7][N:8]([CH2:9][CH3:10])[CH2:11][CH3:12]>CCNCC>[Br-:4].[CH2:5]=[CH:6][CH2:7][N+:8]([CH2:9][CH3:10])([CH2:11][CH3:12])[CH2:3][CH:2]=[CH2:1] |f:3.4|","US20030027948A1","1.1.5","Bromo Menshutkin reaction",,2003,"pistachio",7
"[CH3:1][S:2](=O)[CH2:3][c:4]1[c:5]([n:6][nH:7][c:8]1-[c:9]1[cH:10][cH:11][cH:12][s:13]1)-[c:14]1[cH:15][cH:16][c:17]([cH:18][cH:19]1)[Cl:20]>CS(=O)(=O)Cc1c(n[nH]c1-c1cccs1)-c1ccc(cc1)Cl>[CH3:1][S:2][CH2:3][c:4]1[c:8]([nH:7][n:6][c:5]1-[c:14]1[cH:19][cH:18][c:17]([cH:16][cH:15]1)[Cl:20])-[c:9]1[cH:10][cH:11][cH:12][s:13]1","US20030028034A1","0.0","Unrecognized",,2003,"pistachio",8
"O=C(NCC1CCCCN1)c1cc(ccc1O[CH2:1][C:2]([F:3])([F:4])[F:5])O[CH2:6][C:7]([F:8])([F:9])[F:10].O=S(=O)(O[CH2:11][C:12]([F:13])([F:14])[F:15])C(F)(F)C(F)(F)[C:11](F)(F)[C:12]([F:13])([F:14])[F:15].[O:16]=[C:17]([OH:18])[c:19]1[cH:20][c:21]([cH:22][cH:23][c:24]1[OH:25])[OH:26]>>[O:18]=[C:17]([O:16][CH2:1][C:2]([F:5])([F:4])[F:3])[c:19]1[cH:20][c:21]([cH:22][cH:23][c:24]1[O:25][CH2:11][C:12]([F:14])([F:15])[F:13])[O:26][CH2:6][C:7]([F:10])([F:8])[F:9]","US20030032835A1","0.0","Unrecognized",,2003,"pistachio",9
"[CH3:1][C:2](=O)[CH:3]=C(C)C.[CH3:4][C:5](=[O:6])[CH2:7][CH:8]([CH3:9])[CH3:10]>>[CH3:9][C:8]([CH3:10])=[CH:7][C:5](=[O:6])[CH:4]=[C:2]([CH3:1])[CH3:3]","US20030065227A1","0.0","Unrecognized",,2003,"pistachio",10
